aid,sex,feedingInterval,name,weight,originCountry,dob,enclosureID,speciesName
67,M,22,hOeT,59.1,BLM,2011-3-1,67,AABO
68,F,23,DYH,635.5,CHN,1983-2-18,68,AABP
69,F,05,FIFF,913501.8,TON,1954-4-8,69,AABQ
70,F,08,F,811.7,GTM,1981-6-14,70,AABR
71,M,14,hqNqf,766.8,SUR,2020-4-27,71,AABS
72,F,07,NNuMrsZ,409.8,GTM,1944-8-16,72,AABT
73,M,14,h,2.1,POL,1988-10-14,73,AABU
74,M,12,mxRFJ,318.4,ALA,1967-10-24,74,AABV
75,M,22,Aj,743197.88,FLK,1979-6-26,75,AABW
76,M,04,PUQfvT,84769252.24,PRI,1966-7-20,76,AABX
77,F,20,euRqzDX,4688.90,SMR,2010-10-19,77,AABY
78,F,18,J,52590.57,SOM,1933-5-2,78,AABZ
79,M,17,RduOb,6192194.43,BGR,1961-9-16,79,AABa
80,M,08,WzpmmP,38005154.51,MDG,1979-7-11,80,AABb
81,M,12,hRI,84021883.3,SMR,1960-5-10,81,AABc
82,F,23,OBdWR,213165.1,CIV,1953-2-14,82,AABd
83,F,19,XtIGk,636.3,VNM,1961-9-19,83,AABe
84,M,02,XbuyY,490374.7,DZA,1943-1-13,84,AABf
85,F,19,rg,2.18,SXM,1981-10-13,85,AABg
86,F,11,RFqv,8532432.98,SRB,1991-6-6,86,AABh
87,F,08,oEoEMm,4432839.47,DZA,1963-7-5,87,AABi
88,F,19,pM,39252493.42,KWT,1947-11-8,88,AABj
89,F,07,TmPKLCSs,7325911.96,CXR,1979-9-13,89,AABk
90,M,11,Qnfh,21.10,VIR,1991-9-12,90,AABl
91,F,18,WDQyz,11097801.7,FJI,1966-11-4,91,AABm
92,M,22,UjvX,52561.60,ESH,1957-10-26,92,AABn
93,F,03,leGtdDdP,52631321.49,NOR,1932-8-10,93,AABo
94,M,14,fsM,9725864.8,NER,1945-7-26,94,AABp
95,M,12,L,36079.4,MDV,1935-12-10,95,AABq
96,M,06,roHVwSgJ,956.9,VEN,1956-6-15,96,AABr
97,M,20,WK,13550.3,GMB,2010-8-27,97,AABs
98,F,14,bmgmzDs,79209925.5,ISL,2003-8-6,98,AABt
99,M,06,nRDbmEUX,14488.21,POL,1991-9-3,99,AABu
100,F,17,a,6543.36,CMR,1966-1-11,100,AABv
101,F,11,dWetm,943496.3,PYF,1989-10-6,101,AABw
102,F,16,f,2836.64,NLD,2013-6-15,102,AABx
103,M,07,AscwPGb,4241626.8,LKA,1929-10-18,103,AABy
104,M,16,NPL,292.9,TUR,1946-5-4,104,AABz
105,F,22,gEC,29808727.7,UZB,2024-1-18,105,AACA
106,M,15,Kqnly,12014029.23,PER,1971-12-3,106,AACB
107,F,23,VoDXI,5.9,LBY,1985-8-4,107,AACC
108,F,13,VWqhEu,3494.45,SLB,1953-10-9,108,AACD
109,M,23,ktMCiZP,974.89,ALA,2003-1-17,109,AACE
110,F,11,CVWFGglH,8403666.6,LUX,2022-11-21,110,AACF
111,F,23,KJXgEWK,4.7,VNM,2009-3-7,111,AACG
112,M,08,A,4848.6,MNE,1946-10-17,112,AACH
113,F,18,tVrBqLN,2394394.24,NLD,2005-11-27,113,AACI
114,F,23,h,68277.32,MNP,1933-2-9,114,AACJ
115,F,16,CdDXVxJt,4966.76,ESH,2007-3-2,115,AACK
116,M,14,yL,442462.7,BTN,1958-6-16,116,AACL
117,F,12,VKWqhT,25.75,WLF,2018-8-2,117,AACM
118,F,09,HqVyK,28753996.4,UMI,1977-12-9,118,AACN
119,M,08,FC,3.58,WLF,1929-7-4,119,AACO
120,M,06,YcNo,11984.66,ALB,2002-9-19,120,AACP
121,M,11,vyF,431.60,IRQ,1927-10-23,121,AACQ
122,M,13,cBaj,13.2,AZE,1955-2-18,122,AACR
123,F,04,GGaeFcIS,2.60,OMN,1962-2-11,123,AACS
124,F,06,Tplek,2892.5,GUM,1997-9-24,124,AACT
125,M,10,ussmKFVw,47565.35,MHL,1976-7-25,125,AACU
126,M,02,PhsqmrNY,28620.35,TKL,2024-4-24,126,AACV
127,M,02,uUrv,6.9,MDG,1954-9-2,127,AACW
128,F,01,AI,86421.53,SHN,1984-3-1,128,AACX
129,F,09,IhnIJTba,95539130.31,MDA,1946-2-19,129,AACY
130,M,12,eTeXQXAT,999438.19,LIE,1963-3-8,130,AACZ
131,F,18,Yytz,9781562.1,PRY,1983-11-13,131,AACa
132,M,09,lqokjtzu,21792911.72,ESP,2018-9-12,132,AACb
133,F,03,WUps,3.65,IRQ,1988-6-20,133,AACc
134,F,14,M,35106.80,ARG,1953-11-26,134,AACd
135,M,14,dHHZmr,28384.5,KAZ,1994-2-11,135,AACe
136,F,12,oSXZTcat,5432117.4,GRL,2001-5-26,136,AACf
137,F,06,QkOTTxuN,9546.5,DMA,1991-3-22,137,AACg
138,M,20,AVtqQfn,802.1,PRT,1966-2-7,138,AACh
139,M,11,Le,58616.59,RUS,2000-7-16,139,AACi
140,M,06,WPyCcDC,7006088.2,AZE,1972-2-22,140,AACj
141,M,07,FinO,808.5,KHM,1996-8-9,141,AACk
142,M,02,NWNcQRLR,16674803.7,HUN,1940-9-15,142,AACl
143,F,11,EQN,6047953.3,BHS,1987-4-27,143,AACm
144,M,13,MjYJ,228463.75,PAN,1982-7-20,144,AACn
145,F,02,sTbIz,703241.3,YEM,1934-5-10,145,AACo
146,M,19,lYm,82.2,FRA,1964-5-7,146,AACp
147,M,14,nZbXEO,9632.5,SWZ,1982-10-21,147,AACq
148,F,06,wbIGRjGZ,79550.51,TWN,1969-8-18,148,AACr
149,M,09,Gp,5.3,BRA,1985-10-15,149,AACs
150,M,20,u,6242.5,NIU,1966-3-12,150,AACt
151,M,02,kmWZgHY,33.8,GUM,1984-11-1,151,AACu
152,M,11,gfKhP,64033.11,LUX,1936-6-8,152,AACv
153,F,11,iMXIZcOL,435155.92,GMB,2021-6-3,153,AACw
154,F,11,iaEFAr,7890326.44,USA,1990-5-4,154,AACx
155,M,16,edd,64932282.78,SSD,1977-6-14,155,AACy
156,M,03,BF,419863.49,IRL,1964-6-2,156,AACz
157,M,10,rCDdMA,9.45,BLR,2023-9-10,157,AADA
158,F,01,Ts,9.6,RUS,1974-11-1,158,AADB
159,M,14,meQCbZjd,2.9,CAF,2013-9-6,159,AADC
160,M,11,CyFCkmCX,854120.6,SRB,1936-5-9,160,AADD
161,F,03,Nx,30.9,GMB,2023-4-14,161,AADE
162,M,10,mU,688735.8,MDG,1986-4-18,162,AADF
163,F,20,GVl,3219357.30,VAT,1943-11-18,163,AADG
164,F,13,K,2699.8,ATA,2010-5-25,164,AADH
165,M,05,l,3958.17,VGB,1971-9-9,165,AADI
166,M,20,wUcIUvBx,8871.54,NRU,1936-6-9,166,AADJ
167,F,12,jthh,39.3,SVN,1953-11-1,167,AADK
168,F,03,zCSzQheO,19.1,CHL,1952-5-20,168,AADL
169,M,16,btc,5.37,VAT,2003-3-20,169,AADM
170,M,01,lXJpKfKZ,41.87,RUS,2012-4-11,170,AADN
171,M,15,N,37920386.6,URY,2020-4-12,171,AADO
172,F,04,WkFYII,68377.7,BRA,1976-7-7,172,AADP
173,F,16,MCjsBbAd,800.43,LUX,1947-12-18,173,AADQ
174,M,01,txtjQfB,66.92,TCD,2016-10-15,174,AADR
175,F,04,TsslFPbI,7.8,SDN,1992-1-8,175,AADS
176,F,20,bbZXrMG,2.20,VIR,2011-2-6,176,AADT
177,M,08,Ho,63.88,MDA,1970-11-16,177,AADU
178,F,14,uBxkZxO,26311.8,SJM,2010-2-23,178,AADV
179,M,23,wQN,94916143.21,GNQ,1993-2-25,179,AADW
180,M,20,idXoNuud,25.2,DOM,1966-9-3,180,AADX
181,F,11,w,522.48,MDV,1972-11-3,181,AADY
182,M,16,EhHr,49425763.17,MNE,1955-10-23,182,AADZ
183,F,17,J,7.27,ATG,1944-11-16,183,AADa
184,M,12,lNDzYMg,789.5,MUS,1972-5-4,184,AADb
185,M,17,T,201011.6,JAM,1987-1-20,185,AADc
186,M,14,XAdWcLxp,134.9,TZA,1993-4-4,186,AADd
187,F,04,yWlanxo,44103.42,FLK,1949-3-26,187,AADe
188,M,06,AALWIzp,474536.4,GHA,2006-9-9,188,AADf
189,M,14,XwU,55.4,PHL,1950-12-25,189,AADg
190,F,17,Fh,61.7,COK,1946-9-11,190,AADh
191,F,20,oFHGa,626.5,PYF,2020-3-13,191,AADi
192,M,12,NkpEJVfM,6675.6,ABW,1981-1-6,192,AADj
193,M,08,gZGw,6.38,SRB,1935-9-24,193,AADk
194,M,20,aw,1379.65,MSR,1959-6-3,194,AADl
195,F,02,lg,97.99,FIN,1959-7-24,195,AADm
196,M,18,fOpvGQ,81753317.33,TGO,2013-7-17,196,AADn
197,F,22,buuRZlWB,44.48,GRL,1950-11-19,197,AADo
198,F,08,YCLUrYy,28597.84,MOZ,2015-3-28,198,AADp
199,F,23,jbMbUF,31808.35,KHM,1936-5-20,199,AADq
200,F,10,zUh,53269.98,CXR,1937-2-20,200,AADr
201,F,10,HND,71.4,VCT,1990-6-23,201,AADs
202,F,04,jENOUGc,126482.6,SDN,1992-4-8,202,AADt
203,F,09,lXsyn,1118.1,SUR,1927-8-18,203,AADu
204,M,14,dYNz,4673415.35,EGY,1943-5-2,204,AADv
205,M,02,faF,43.57,TUN,2012-6-2,205,AADw
206,F,05,LqqUd,42.9,AZE,2008-4-8,206,AADx
207,F,04,IavipOhp,32938587.6,TGO,1989-12-24,207,AADy
208,F,08,P,29619826.2,FSM,1968-4-11,208,AADz
209,M,06,nm,593468.9,HND,1992-5-3,209,AAEA
210,M,19,OcgDdqj,50940503.2,GNB,1944-10-12,210,AAEB
211,F,06,KzHrUy,7419923.14,MAR,2015-5-15,211,AAEC
212,M,23,QAYrh,16677.9,GUY,1965-6-19,212,AAED
213,F,20,trYw,10170.39,UKR,1980-7-27,213,AAEE
214,M,19,VZv,405716.62,GRC,1955-3-26,214,AAEF
215,M,19,f,39755.3,BWA,1944-8-14,215,AAEG
216,M,06,ND,97.3,JAM,1964-9-3,216,AAEH
217,F,07,Oco,95663041.3,HTI,2012-5-10,217,AAEI
218,M,22,u,52541.7,LVA,2002-1-24,218,AAEJ
219,F,13,rmhjFKr,6.8,WLF,1942-10-20,219,AAEK
220,F,15,ouP,116972.8,CHE,2000-3-20,220,AAEL
221,F,18,wNW,4409438.31,PAK,1964-11-15,221,AAEM
222,M,03,fDGnXAyi,611.4,GMB,1941-5-13,222,AAEN
223,F,16,U,7638369.6,AND,1964-9-6,223,AAEO
224,F,10,wGyN,6.8,GBR,1973-6-20,224,AAEP
225,F,08,SyHqU,4156.9,COM,1975-10-10,225,AAEQ
226,M,20,aYzfOzVE,964.1,PER,1951-6-6,226,AAER
227,M,21,CnGMtthA,9.4,EST,1994-1-13,227,AAES
228,F,03,RDZjO,627813.4,NAM,1952-12-18,228,AAET
229,M,02,cvune,99023.6,BHS,1954-3-5,229,AAEU
230,F,08,JBoBSEkD,7832.5,GRC,1943-7-14,230,AAEV
231,F,03,NT,795.71,TON,1993-8-4,231,AAEW
232,M,06,SOaESyv,772468.1,BHR,2006-1-6,232,AAEX
233,M,01,Udiu,1864431.3,LKA,1969-3-12,233,AAEY
234,M,04,GY,4345.16,PCN,1967-2-1,234,AAEZ
235,M,11,NwXzOX,29474293.9,COM,1942-7-3,235,AAEa
236,F,04,jmtBCRUy,36.82,JAM,1993-3-25,236,AAEb
237,M,20,tU,23.59,MLT,1994-2-27,237,AAEc
238,M,02,eFD,78327.8,PYF,1984-12-5,238,AAEd
239,M,07,ZKjouUWf,4.64,EST,1994-7-28,239,AAEe
240,F,09,VdIIEvO,8132.47,IOT,1981-11-25,240,AAEf
241,F,01,yc,8197146.75,TKL,1988-3-5,241,AAEg
242,F,04,lHcc,2373.14,CAF,1965-12-8,242,AAEh
243,M,23,ZW,7.5,PRI,1944-4-4,243,AAEi
244,F,04,WaIAY,1085.1,YEM,1953-2-8,244,AAEj
245,F,17,ycwZcM,84.7,LBR,1947-8-14,245,AAEk
246,M,08,g,3931551.53,MAC,2004-2-2,246,AAEl
247,F,04,hYRjMKv,87873172.9,LUX,1972-5-1,247,AAEm
248,M,11,H,358.99,ASM,1997-12-14,248,AAEn
249,F,12,NktAzM,5519790.9,JEY,1975-5-26,249,AAEo
250,F,18,F,7703465.20,LBY,1982-6-23,250,AAEp
251,M,05,M,84374.57,ITA,1965-7-21,251,AAEq
252,F,22,aAXyfaDb,37106.7,BGR,1976-3-28,252,AAEr
253,M,04,CiiN,18.44,COD,1988-10-4,253,AAEs
254,F,15,rUoj,918882.17,TJK,1973-11-19,254,AAEt
255,F,02,F,903959.91,CUW,1930-5-22,255,AAEu
256,M,02,thTLLRnY,8659.8,COK,2024-2-10,256,AAEv
257,F,08,dmGPOqC,255596.43,JOR,1988-10-2,257,AAEw
258,M,23,iRVqC,8384987.31,DJI,1973-11-8,258,AAEx
259,F,23,DRPR,95159.7,TJK,1984-6-3,259,AAEy
260,F,10,ZJkYzdz,4725.62,CRI,1986-3-27,260,AAEz
261,F,19,EsDrTZi,30.56,BEN,1949-7-18,261,AAFA
262,F,09,o,887831.37,ALB,2011-5-16,262,AAFB
263,M,06,qSLuGD,7395.1,BWA,1974-12-27,263,AAFC
264,F,06,NuEzNwpS,52476964.14,IRN,1927-10-3,264,AAFD
265,M,14,Dydhpt,99.2,MSR,1934-11-23,265,AAFE
266,F,13,rdkHVB,98335.5,MDG,1966-11-23,266,AAFF
267,F,18,DAKUICV,59834.8,CHE,1987-2-8,267,AAFG
268,F,04,USu,25.22,DOM,1927-11-8,268,AAFH
269,M,06,W,4.6,DNK,2024-11-17,269,AAFI
270,M,17,WKvS,98585.4,HND,2009-12-16,270,AAFJ
271,F,05,yWZaP,66.39,ERI,1941-9-24,271,AAFK
272,M,17,MZpwqL,462.64,ISL,1993-5-17,272,AAFL
273,F,10,MYzWFYtD,2559.89,COM,2004-4-28,273,AAFM
274,M,14,tlTsMYP,9874969.2,ESH,2017-10-17,274,AAFN
275,F,16,DNXx,619.4,SWE,1940-9-26,275,AAFO
276,M,09,nZapthpb,25330913.1,MEX,1931-6-25,276,AAFP
277,M,09,DxBA,66647519.3,MNE,1991-3-6,277,AAFQ
278,F,04,ZYTYXn,73128.68,MLI,1992-9-14,278,AAFR
279,M,12,jpwUjn,528.1,MKD,2006-2-9,279,AAFS
280,M,05,oUMc,4771.7,ZMB,1979-4-11,280,AAFT
281,F,18,v,50.23,TCA,2012-8-2,281,AAFU
282,M,06,eyC,958.5,DZA,2019-1-21,282,AAFV
283,F,18,YinSn,89731658.4,MUS,2023-1-21,283,AAFW
284,M,20,fHaWElu,37144.6,SGP,1989-3-27,284,AAFX
285,M,04,VkFEwk,88287.5,TZA,1961-6-8,285,AAFY
286,F,23,H,98012437.8,SJM,1961-11-2,286,AAFZ
287,F,20,Xu,20.78,BRA,2024-1-20,287,AAFa
288,M,07,E,7286.4,YEM,1932-8-27,288,AAFb
289,F,23,BNAs,8119589.5,VIR,2017-8-10,289,AAFc
290,M,03,EA,38.10,MNP,1991-3-12,290,AAFd
291,M,06,oUiCiVZ,4.5,PLW,1959-4-1,291,AAFe
292,M,15,dLrv,8715.3,UMI,1949-7-12,292,AAFf
293,F,14,ZFYNroe,1197845.66,VNM,1953-9-10,293,AAFg
294,M,04,eCpgvD,43.55,SGP,2006-2-3,294,AAFh
295,F,09,RNsMvDIV,64.3,TTO,2005-2-22,295,AAFi
296,F,22,iEb,561.33,NGA,1964-8-13,296,AAFj
297,M,19,yuru,53744510.3,NZL,2003-9-2,297,AAFk
298,M,01,MtIjJrL,19742603.1,NGA,2021-8-17,298,AAFl
299,F,17,s,1952129.10,MHL,1964-11-13,299,AAFm
300,M,15,iqIF,19105936.7,MUS,1965-5-7,300,AAFn
301,M,17,LUL,51609.84,VUT,1980-10-7,301,AAFo
302,F,06,ATWx,18.64,SDN,1950-2-8,302,AAFp
303,M,16,ev,9470672.11,CIV,1934-2-11,303,AAFq
304,M,02,OabU,6266870.3,MWI,1980-5-15,304,AAFr
305,F,03,REnGfl,796360.1,GIB,2003-5-11,305,AAFs
306,F,13,ommEj,57049881.8,BGR,2003-2-19,306,AAFt
307,M,10,el,8079.1,IMN,1983-11-7,307,AAFu
308,F,03,LMt,9423.99,KHM,1934-5-11,308,AAFv
309,F,03,jfXhm,25771.41,ZAF,1965-4-3,309,AAFw
310,F,12,EP,141.57,CAN,2010-6-26,310,AAFx
311,M,21,MiRfne,7500172.50,AUT,2021-2-11,311,AAFy
312,F,01,ffkDjG,424.5,ITA,2008-2-26,312,AAFz
313,M,04,OMUOzDox,97224129.33,PAK,1982-12-2,313,AAGA
314,F,08,s,7263.75,MNG,1926-10-4,314,AAGB
315,M,15,MMe,729.9,JOR,1979-10-4,315,AAGC
316,M,14,Iutx,50500440.77,CXR,1982-10-22,316,AAGD
317,M,13,gZ,1.5,LSO,1956-7-6,317,AAGE
318,F,22,cLH,718.33,GNQ,2020-8-4,318,AAGF
319,M,22,uvq,586562.2,KAZ,1985-10-28,319,AAGG
320,M,02,mic,545.3,KNA,1979-8-27,320,AAGH
321,M,23,EkLv,21.52,TKL,1990-11-16,321,AAGI
322,M,21,JxuwjIUE,1.8,LUX,1936-7-5,322,AAGJ
323,M,06,ZRScLChB,5.52,PAN,1993-12-23,323,AAGK
324,M,18,gDSy,43.2,CHL,2021-9-23,324,AAGL
325,M,12,JdW,96798722.9,LKA,1928-5-11,325,AAGM
326,M,03,EwafPHF,21.9,FRA,1971-11-24,326,AAGN
327,M,10,tPtd,5.60,BEN,2020-8-11,327,AAGO
328,M,06,ElRIz,38.94,DMA,2024-11-12,328,AAGP
329,F,02,tiPUzF,87.38,CAN,2021-6-4,329,AAGQ
330,M,22,CeVpIAd,50452432.42,NCL,1967-3-8,330,AAGR
331,F,08,jFwQT,8983077.8,JAM,1999-10-16,331,AAGS
332,M,07,YxndkYbd,429909.6,LVA,1974-2-25,332,AAGT
333,F,22,gQXAIj,9738602.35,LSO,1984-10-7,333,AAGU
334,F,04,OYoEH,78850467.8,VAT,2018-6-25,334,AAGV
335,M,22,T,23614.8,BLM,1954-11-25,335,AAGW
336,F,02,BmNY,9.6,SLV,1998-10-16,336,AAGX
337,F,03,lemkOSn,614.1,PAK,2004-6-19,337,AAGY
338,M,10,OqLl,22365992.2,MOZ,2014-10-12,338,AAGZ
339,M,07,fWrcf,5367841.16,JPN,1959-11-26,339,AAGa
340,F,20,rJ,83368651.1,IND,1961-9-16,340,AAGb
341,M,23,amnXOwm,3.12,LUX,1980-7-2,341,AAGc
342,M,06,UZFu,3.5,JPN,1982-5-19,342,AAGd
343,F,17,hC,44.6,KHM,2011-4-16,343,AAGe
344,F,16,OnE,291.3,KAZ,1966-9-9,344,AAGf
345,M,13,qZze,300.2,UZB,1926-4-11,345,AAGg
346,M,19,LxNLGcGG,60.1,IRL,1966-6-1,346,AAGh
347,F,19,VNOaz,5805501.9,KAZ,1994-10-7,347,AAGi
348,F,22,KqjUcRTK,79.8,ITA,1932-1-10,348,AAGj
349,M,15,XW,15.77,MUS,2007-1-26,349,AAGk
350,F,19,KIojyjd,24701027.98,SVK,1985-1-15,350,AAGl
351,F,18,cdYZXKq,844324.1,ALA,1937-4-27,351,AAGm
352,M,16,nRrS,3.25,BTN,1943-3-7,352,AAGn
353,M,15,awxOUzmS,411.5,BDI,1936-2-25,353,AAGo
354,M,12,dhinFg,2.44,KOR,2013-1-2,354,AAGp
355,F,10,sczBC,25768731.7,NZL,1948-2-21,355,AAGq
356,F,15,akmkrGkB,994.68,LIE,1963-12-13,356,AAGr
357,F,16,hWhK,5.61,ESH,1934-6-22,357,AAGs
358,M,08,DlbKuL,16.1,BLM,1925-10-14,358,AAGt
359,F,08,x,28935070.30,GUF,2024-6-10,359,AAGu
360,F,18,rrnl,451.49,MRT,1955-1-20,360,AAGv
361,F,23,Mpjg,59895.33,IND,1945-1-22,361,AAGw
362,M,19,DEkuA,622.7,COD,2005-3-15,362,AAGx
363,M,23,kOcUlpd,35206.27,COM,1935-11-13,363,AAGy
364,M,07,wZ,6.6,DOM,1991-6-22,364,AAGz
365,F,06,WL,62380112.39,BRB,1967-3-5,365,AAHA
366,F,10,fVzgTmDS,82639.4,GBR,2001-9-12,366,AAHB
367,F,10,Azq,89504524.52,BRA,2006-7-2,367,AAHC
368,F,09,aGO,6012750.86,JPN,2017-2-12,368,AAHD
369,M,11,OgPl,28600312.2,LBN,2001-6-2,369,AAHE
370,M,04,OUEB,30803307.6,TKL,1971-8-6,370,AAHF
371,F,09,CZMq,4674.54,ATF,2018-5-11,371,AAHG
372,F,15,IGZCqk,14360822.4,AIA,2020-9-27,372,AAHH
373,M,03,gdZHvLvG,37.17,TJK,1993-5-17,373,AAHI
374,F,01,WKL,22.1,TZA,1960-7-7,374,AAHJ
375,M,17,Z,10.5,NOR,1973-4-10,375,AAHK
376,F,04,n,85988.9,TZA,2000-1-16,376,AAHL
377,F,04,QzUFh,6.15,NFK,1958-6-19,377,AAHM
378,M,15,pwNMx,7730.30,OMN,1993-9-28,378,AAHN
379,F,01,LEyfE,915748.12,UMI,1931-3-8,379,AAHO
380,F,15,fiQIKqK,42905651.78,KHM,2007-1-3,380,AAHP
381,M,08,H,51.63,PER,1973-12-24,381,AAHQ
382,F,16,IxVwry,71.1,AGO,1995-12-3,382,AAHR
383,F,22,C,54717.43,REU,1965-1-13,383,AAHS
384,F,06,qF,5.47,NRU,2022-5-24,384,AAHT
385,F,21,hUlRMoa,88046.5,TUV,1986-1-18,385,AAHU
386,M,01,JnhDAuv,4985103.45,CYP,1961-3-9,386,AAHV
387,F,05,t,6812.98,UZB,1928-1-18,387,AAHW
388,F,10,iuyT,7759.56,TKM,1989-8-3,388,AAHX
389,F,13,iEJkX,408331.4,KOR,1994-3-14,389,AAHY
390,F,07,DBEgIEEs,8.5,COD,2010-3-4,390,AAHZ
391,M,12,mLs,8.2,BEL,2005-7-20,391,AAHa
392,F,03,RhK,63087153.9,ETH,1964-11-1,392,AAHb
393,F,15,Xqh,9626902.7,ATA,1928-5-16,393,AAHc
394,M,14,JscAJwvA,142011.82,YEM,1997-9-25,394,AAHd
395,F,05,nwHSHc,29021780.42,ESH,2012-7-19,395,AAHe
396,F,23,LopTckQ,446.4,MNE,1972-12-4,396,AAHf
397,F,16,waRz,362613.5,NLD,1978-2-28,397,AAHg
398,M,23,W,2034.15,TUN,2022-1-8,398,AAHh
399,M,01,X,3578031.7,PRY,1979-7-2,399,AAHi
400,M,02,NsZ,194466.50,AND,1930-4-22,400,AAHj
401,F,12,lCJCaoS,637608.5,AIA,1930-8-10,401,AAHk
402,F,22,Cdbu,3.1,MYS,2022-10-16,402,AAHl
403,F,14,FsJlgG,739851.72,HKG,2021-9-10,403,AAHm
404,M,07,oeXhmMLB,77840.9,JEY,1927-8-4,404,AAHn
405,M,22,muZE,6.38,TUN,1984-2-14,405,AAHo
406,M,11,BicJDS,73.5,ROU,2007-12-8,406,AAHp
407,F,23,VNO,91704.6,LBN,1954-9-8,407,AAHq
408,F,15,TcGTW,4529951.62,TWN,1937-8-9,408,AAHr
409,M,03,UlcQfk,331314.13,ASM,1949-11-23,409,AAHs
